Details,QTY(PCS),Unit Price,Amount,日期,主播,INV
Crazy Agate &Labradorite Dinosaurs ,2,9,18,2023-04-25 00:00:00,阿禾特,MC4774
Honey Comb Ruby Point ,1,8,8,2023-04-25 00:00:00,阿禾特,MC4774
Lepidolite Growing Witb Pink Tourmaline  Point ,1,3,3,2023-04-25 00:00:00,阿禾特,MC4774
Luminous Insect Spheres ,2,4,8,2023-04-25 00:00:00,阿禾特,MC4774
Carnelian Flame ,1,21,21,2023-04-23 00:00:00,小马,MC4774
Orange Calcite Sphere ,1,24,24,2023-04-23 00:00:00,小马,MC4774
Orange Calcite Star ,1,4,4,2023-04-22 00:00:00,小马,MC4774
Dragon Blood Stone Hearts ,2,5,10,2023-04-22 00:00:00,小马,MC4774
Malachite Point ,1,16,16,2023-04-22 00:00:00,小马,MC4774
Kambaba Mini Heart ,1,2,2,2023-04-22 00:00:00,小马,MC4774
Banded Agate Tower ,1,26,26,2023-04-22 00:00:00,阿禾特,MC4774
Banded AgateSphere ,1,18,18,2023-04-22 00:00:00,阿禾特,MC4774
Mixed Mini Hearts ,25,1,25,2023-04-22 00:00:00,阿禾特,MC4774
Galaxy Tiger Eye  Bracelet ,1,6,6,2023-04-22 00:00:00,阿禾特,MC4774
Aura Crystal Sticks Bag ,1,5,5,2023-04-22 00:00:00,阿禾特,MC4774
Tarot Card Tapestry ,1,4,4,2023-04-21 00:00:00,阿禾特,MC4774
"Druzy Flower Agate Spheres 
2 Pieces(17+15)",1,32,32,2023-04-21 00:00:00,阿禾特,MC4774
Rose Quartz Eggs,2,8,16,2023-04-21 00:00:00,阿禾特,MC4774
Mixed Mini Hearts,12,1,12,2023-04-21 00:00:00,阿禾特,MC4774
Unicorn Stone Tower ,1,7.5,7.5,2023-04-21 00:00:00,阿禾特,MC4774
Afghan Jade &Red Line Jasper Dragon Heads,2,4,8,2023-04-21 00:00:00,阿禾特,MC4774
Wooden Box ,1,18,18,2023-04-21 00:00:00,小马,MC4774
Crazy Agate Tower ,1,15,15,2023-04-21 00:00:00,小马,MC4774
Money Agate Sphere ,1,17,17,2023-04-21 00:00:00,小马,MC4774
Kunzite Bracelet ,1,16,16,2023-04-21 00:00:00,小马,MC4774
Red Jasper Four Leaf Clover ,1,7,7,2023-04-21 00:00:00,小马,MC4774
Agate Tower ,1,13,13,2023-04-21 00:00:00,小马,MC4774
Citrine Tower ,1,18,18,2023-04-20 00:00:00,阿禾特,MC4774
Ruby In Zoisite Sphere ,1,21,21,2023-04-10 00:00:00,小马,MC4774
Black Obsidian Bracelets ,2,3,6,2023-04-10 00:00:00,小马,MC4774
Fluorite Sphere ,1,3,3,2023-04-10 00:00:00,小马,MC4774
"Fluorite Points Bag 
3 Pieces",1,18,18,2023-04-10 00:00:00,阿禾特,MC4774
Blue Aventurine Bracelets ,2,3,6,2023-04-10 00:00:00,阿禾特,MC4774
Mexican Onyx Tower ,1,11,11,2023-04-10 00:00:00,阿禾特,MC4774
Shiva's Eye Hearts ,5,1,5,2023-04-10 00:00:00,阿禾特,MC4774
Fluorite Tiny Spheres ,5,3,15,2023-04-10 00:00:00,阿禾特,MC4774
Tiger's Eyes Elephant Mother &Baby ,1,16,16,2023-04-10 00:00:00,阿禾特,MC4774
Jade Model ,1,16,16,2023-04-10 00:00:00,阿禾特,MC4774
Amethyst Ring,1,16,16,2023-04-09 00:00:00,小马,MC4774
Blue Aventurine Sphere,1,18,18,2023-04-09 00:00:00,YOYO,MC4774
Labradorite Points Bag,1,8.5,8.5,2023-04-09 00:00:00,YOYO,MC4774
Black Agate Braclet,2,4,8,2023-04-09 00:00:00,YOYO,MC4774
Fluorite Sphere Free Gift,1,0,0,2023-04-09 00:00:00,小马,MC4774
Rose Quartz & Amethyst Pendant,2,4,8,2023-04-09 00:00:00,小马,MC4774
Rose Quartz Pig,1,3,3,2023-04-09 00:00:00,小马,MC4774
Cloth Bags ,2,3,6,2023-04-08 00:00:00,小马,MC4774
Pyrite Car ,1,12,12,2023-04-08 00:00:00,小马,MC4774
Fluorite Flower Ring ,1,4,4,2023-04-08 00:00:00,小马,MC4774
 Fireworks Agate Butterfly ,1,22,22,2023-04-08 00:00:00,小马,MC4774
Larimar Chips Bracelets ,2,6,12,2023-04-08 00:00:00,斯蒂芬,MC4774
Indigo Gabbro Sphere ,1,8,8,2023-04-06 00:00:00,阿禾特,MC4774
Agate Pendant,1,2,2,2023-04-06 00:00:00,阿禾特,MC4774
